Parameter,Type,Min,Max,Default,Example,Description
Airport,boolean,0,1,0,[example](../json/demo-nodeattributes-malaria-airport.json),"Indicates whether or not the node has an airport for air migration from (not to) the node. If set to 1, **Enable_Air_Migration** in the configuration file must be set to 1 or migration will not occur (see [Migration](parameter-configuration-migration.md) parameters). Primarily used to turn off migration in a particular node."
Altitude,float,-3.40282e+038,3.40282e+038,0,[example](../json/demo-nodeattributes-malaria-altitude.json),"The altitude, in meters, for the node. Required, but only used when **Climate_Model** is set to CLIMATE_KOPPEN. "
BirthRate,double,0,1,0.00008715,[example](../json/demo-nodeattributes-malaria-birthrate.json),"The birth rate, in births per person per day. In the configuration file, **Enable_Birth** must be set to 1 and **Birth_Rate_Dependence** will affect how this rate is used (see [Population dynamics](parameter-configuration-population.md) parameters). See [example](../json/demo-nodeattributes-birthrate.json)."
InfectivityReservoirEndTime,float,InfectivityReservoirStartTime,3.40282e+038,3.40282e+038,[example](../json/demo-nodeattributes-malaria-infectivityreservoirendtime.json),"The ending of the exogeneous reservoir of infectivity. This parameter is conditional upon the configuration parameter, **Enable_Infectivity_Reservoir**, being enabled (set to 1)."
InfectivityReservoirSize,float,0,3.40282e+038,0,[example](../json/demo-nodeattributes-malaria-infectivityreservoirsize.json),"The quantity-per-timestep added to the total infectivity present in a node; it is equivalent to the expected number of additional infections in a node, per timestep. For example, if timestep is equal to a day, then setting **InfectivityReservoirSize** to a value of 0.1 would introduce an infection every 10 days from the exogenous reservoir. This parameter is conditional upon the configuration parameter, **Enable_Infectivity_Reservoir**, being enabled (set to 1)."
InfectivityReservoirStartTime,float,0,3.40282e+038,0,[example](../json/demo-nodeattributes-malaria-infectivityreservoirstarttime.json),"The beginning of the exogeneous reservoir of infectivity. This parameter is conditional upon the configuration parameter, **Enable_Infectivity_Reservoir**, being enabled (set to 1)."
InitialPopulation,integer,0,2147480000,1000,[example](../json/demo-nodeattributes-malaria-initialpopulation.json),The number of people that will be populated into the node at the beginning of the simulation. You can scale this number using **Base_Population_Scale_Factor** in the configuration file (see [Population dynamics](parameter-configuration-population.md) parameters).
InitialVectorsPerSpecies,integer or json object,0,2.15e+09,"10,000","[example](../json/demo-nodeattributes-malaria-initialvectorsperspecies.json), [example](../json/demo-nodeattributes-malaria-initialvectorsperspecies-integer.json)","The number of initial **female** vectors to create per species. The total initial vector population will be approximately twice this value because an equal number of males is also created. Can be specified as a single integer (applied to all species defined in **Vector_Species_Params**) or as a JSON object with species-name keys for per-species counts. Population responds to habitat availability that can be scaled by **LarvalHabitatMultiplier**. **Vector_Sampling_Type** in the configuration file must be set to TRACK_ALL_VECTORS or SAMPLE_IND_VECTORS. Note: the initial male/female proportions may differ from 50/50 when custom gender gene allele frequencies are defined (see [Vector genetics](vector-model-genetics.md))."
LarvalHabitatMultiplier,float or nested json object,NA,NA,NA,"[example](../json/demo-nodeattributes-malaria-larvalhabitatmultiplier-1.json), [example](../json/demo-nodeattributes-malaria-larvalhabitatmultiplier-2.json), [example](../json/demo-nodeattributes-malaria-larvalhabitatmultiplier-3.json)","The value by which to scale the larval habitat availability specified in the configuration file with **Larval_Habitat_Types** across all habitat types, for specific habitat types, or for specific mosquito species within each habitat type."
Latitude,float,3.40282e+038,-3.40282e+038,-1,[example](../json/demo-nodeattributes-malaria-latitude.json),"Latitude of the node in decimal degrees. This can be used for several things, including determining infectiousness by latitude and defining the size of grid cells."
Longitude,float,-3.40282e+38,3.40282e+38,-1,[example](../json/demo-nodeattributes-malaria-longitude.json),"Longitude of the node in decimal degrees. This can be used for several things, including defining the size of grid cells."
NodeAttributes,json object,NA,NA,NA,[example](../json/demo-nodeattributes-malaria-nodeattributes.json),"The structure that contains parameters that add or modify information regarding the location, migration, habitat, and population of a simulation. Some **NodeAttributes** depend on values set in the configuration parameters. See [example](../json/demo-nodeattributes-nodeattributes.json)."
Region,boolean,0,1,0,[example](../json/demo-nodeattributes-malaria-region.json),"Indicates whether or not the node has a road network for regional migration from (not to) the node. If set to 1, **Enable_Regional_Migration** in the configuration file must be set to 1 or migration will not occur (see [Migration](parameter-configuration-migration.md) parameters). Primarily used to turn off migration in particular nodes. "
Seaport,boolean,0,1,0,[example](../json/demo-nodeattributes-malaria-seaport.json),"Indicates whether or not the node is connected by sea migration from (not to) the node. If set to 1, **Enable_Sea_Migration** in the configuration file must be set to 1 or migration will not occur (see [Migration](parameter-configuration-migration.md) parameters). Primarily used to turn off migration in particular nodes."
